SV_ID,Property_Name,BHK,Property_Type,City,USPs,OTA_Platform,Current_Title,Valid_Listing_URL
5182,Canopy Cove,3,Villa,Pune,"Private Pool, Lawn",Agoda,StayVista at Canopy Cove,https://www.agoda.com/stayvista-at-canopy-cove/hotel/malkhed-in.html
5182,Canopy Cove,3,Villa,Pune,"Private Pool, Lawn",Airbnb,3BR |Luxury Lawn+Pool|StayVista| Canopy Cove @Pune,https://www.airbnb.co.in/rooms/1585461020777698004
5182,Canopy Cove,3,Villa,Pune,"Private Pool, Lawn",Booking.com,StayVista's Canopy Cove - 3BHK Villa with Karaoke & Private Pool,https://www.booking.com/hotel/in/stayvista-at-canopy-cove.html
5182,Canopy Cove,3,Villa,Pune,"Private Pool, Lawn",MakeMyTrip,StayVista at Canopy Cove,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202512301613445024&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
5188,Casa Solis,3,Villa,Goa,Private Pool,Agoda,StayVista at Casa Solis,https://www.agoda.com/stayvista-at-casa-solis/hotel/goa-in.html?adults=2&rooms=1&checkIn=2026-02-08&los=2
5188,Casa Solis,3,Villa,Goa,Private Pool,Airbnb,"StayVista at Casa Solis w/ Pool, WiFi",https://www.airbnb.co.in/rooms/1583046869626184218
5188,Casa Solis,3,Villa,Goa,Private Pool,Booking.com,StayVista's Casa Solis - Siolim - 3BHK Villa with Private Pool & Bathtub,https://www.booking.com/hotel/in/stayvista-at-casa-solis-with-pool-wifi.html
5188,Casa Solis,3,Villa,Goa,Private Pool,MakeMyTrip,StayVista at Casa Solis,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202512241443315180&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
5229,The Sattva Grove,2,Villa,Wayanad,Plunge Pool,Agoda,StayVista at The Sattva Grove,https://www.agoda.com/stayvista-at-sattva-grove/hotel/wayanad-in.html?adults=2&rooms=1&checkIn=2026-02-08&los=2
5229,The Sattva Grove,2,Villa,Wayanad,Plunge Pool,Airbnb,2BR|Scenic Pool|StayVista| The Sattva Grove@Kerala,https://www.airbnb.co.in/rooms/1585416120295881252
