SV_ID,Property_Name,BHK,Property_Type,City,USPs,OTA_Platform,Current_Title,Valid_Listing_URL
256,La Bougainvillea Heritage Home,5,Villa,Goa,Private Pool,MakeMyTrip,StayVista at La Bougainvillea Heritage Home,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901101503358355&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
242,Cascades,3,Villa,Lonavala,"Pool, Mountain View, Lawn",Agoda,Cascades by Vista Rooms,https://www.agoda.com/en-in/cascades-by-vista-rooms/hotel/malavli-in.html
242,Cascades,3,Villa,Lonavala,"Pool, Mountain View, Lawn",Airbnb,3R+Pvt Pool+Lawn+StayVista Cascades@Lonavala,https://www.airbnb.co.in/rooms/1421515422003188762
242,Cascades,3,Villa,Lonavala,"Pool, Mountain View, Lawn",Booking.com,"Cascades Villa by VEO, StayVista - 3BHK with Pet Friendly & Mountain View",https://www.booking.com/hotel/in/cascades-by-vista-rooms.html
242,Cascades,3,Villa,Lonavala,"Pool, Mountain View, Lawn",MakeMyTrip,StayVista | Cascades 3 BHK Pool Villa,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901071709535563&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
222,Greenwoods  5,5,Villa,Lonavala,"Private Pool, Lawn",Agoda,StayVista at Greenwoods Villa 5,https://www.agoda.com/en-in/5bhk-greenwoods-with-pvt-pool-tt-table-games-h10603209/hotel/lonavala-in.html
222,Greenwoods  5,5,Villa,Lonavala,"Private Pool, Lawn",Airbnb,5BR|Lawn+Pool|StayVista|Greenwoods Villa 5@Lonavla,https://www.airbnb.co.in/rooms/1559185170074047399
222,Greenwoods  5,5,Villa,Lonavala,"Private Pool, Lawn",Booking.com,"StayVista's Greenwoods Villa 5 - City-Center Villa with Private Pool, Terrace, Lift & Music System",https://www.booking.com/hotel/in/greenwoods-villa-5.html
222,Greenwoods  5,5,Villa,Lonavala,"Private Pool, Lawn",MakeMyTrip,StayVista | Greenwoods Five 5 BHK Villa,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901091559067780&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
282,The Kathguni,3,Villa,Manali,Lawn,Agoda,StayVista at The Kathguni House,https://www.agoda.com/en-in/the-kathguni-house-by-vista-rooms/hotel/manali-in.html
282,The Kathguni,3,Villa,Manali,Lawn,Airbnb,The Kathguni House | 3BHK Luxury Cottage with Lawn,https://www.airbnb.co.in/rooms/31177522
282,The Kathguni,3,Villa,Manali,Lawn,Booking.com,The Kathguni House by StayVista - Luxury Cottage with Lawn,https://www.booking.com/hotel/in/the-kathguni-house-by-vista-rooms.html
282,The Kathguni,3,Villa,Manali,Lawn,MakeMyTrip,StayVista | Kathguni House 3 BHK Villa,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201903221217588326&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
317,Shubmann,3,Villa,Wada,"Private Pool, River View",Agoda,StayVista at Shubmann Villa with Pvt Pool & River View,https://www.agoda.com/en-in/shubmann-by-vista-rooms/hotel/mumbai-in.html
317,Shubmann,3,Villa,Wada,"Private Pool, River View",Airbnb,StayVista at Shubmann Villa w / River View - Wada,https://www.airbnb.co.in/rooms/32174190
317,Shubmann,3,Villa,Wada,"Private Pool, River View",Booking.com,StayVista's Shubmann Villa - Wada - 3BHK with River View & Private Pool,https://www.booking.com/hotel/in/shumann-by-vista-rooms-wada.html
317,Shubmann,3,Villa,Wada,"Private Pool, River View",MakeMyTrip,StayVista | Shubmann 3 BHK Villa,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201905211619441589&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
373,The Hideout Farms,2,Villa,India,Pool,Agoda,StayVista at The Hideout Farms - Kurukshetra,https://www.agoda.com/the-hideout-by-vista-rooms/hotel/kharar-in.html
373,The Hideout Farms,2,Villa,India,Pool,Airbnb,StayVista at The Hideout Farms | 2BR Pool Villa,https://www.airbnb.co.in/rooms/33502735
373,The Hideout Farms,2,Villa,India,Pool,Booking.com,The Hideout Farms - Kurukshetra by StayVista - 2BHK Villa with Swimming Pool & Farm Experience,https://www.booking.com/hotel/in/hideout-by-vista-rooms.html
373,The Hideout Farms,2,Villa,India,Pool,MakeMyTrip,StayVista at The Hideout Farm,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201906281703073304&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
432,Padam Hill,3,Villa,Kasauli,Bonfire,Agoda,StayVista at Padam Hill,https://www.agoda.com/en-in/padam-hill-by-vista-rooms/hotel/kasauli-in.html
432,Padam Hill,3,Villa,Kasauli,Bonfire,Airbnb,3bhk Heritage Villa in Kasauli w/ Bonfire,https://www.airbnb.co.in/rooms/661373608736527784
432,Padam Hill,3,Villa,Kasauli,Bonfire,Booking.com,StayVista's Padam Hill - 3BHK Pet-Friendly Mountain-View Villa,https://www.booking.com/hotel/in/padam-hill-by-vista-rooms.html
432,Padam Hill,3,Villa,Kasauli,Bonfire,MakeMyTrip,StayVista at Padam Hill,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201906281930462472&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
187,"Gram's at Shivom, Pawna Lake by",3,Villa,Lonavala,"Pool, Lawn",Agoda,"Gram's at Shivom, Pawna Lake by StayVista",https://www.agoda.com/shivom-villa-3-by-vista-rooms/hotel/lonavala-in.html
187,"Gram's at Shivom, Pawna Lake by",3,Villa,Lonavala,"Pool, Lawn",Airbnb,"Gram's at Shivom, Pawna Lake by StayVista",https://www.airbnb.co.in/rooms/1365044094877344085
187,"Gram's at Shivom, Pawna Lake by",3,Villa,Lonavala,"Pool, Lawn",Booking.com,StayVista's Gram's at Shivom - Pawna - Shared Pool & Lawn,https://www.booking.com/hotel/in/shivom-villa-8.html
187,"Gram's at Shivom, Pawna Lake by",3,Villa,Lonavala,"Pool, Lawn",MakeMyTrip,"Gram's at Shivom, Pawna Lake by StayVista",https://www.makemytrip.com/hotels/hotel-details/?hotelId=202510081720513114&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
473,The Owl  by VEO,4,House,Jaipur,Lawn,Agoda,The Owl House by VEO - Part of StayVista,https://www.agoda.com/en-in/the-owl-house-by-vista-rooms/hotel/kalwad-kalan-and-khurd-in.html
473,The Owl  by VEO,4,House,Jaipur,Lawn,Airbnb,4BR|Peaceful stay|StayVista| The Owl House @Jaipur,https://www.airbnb.co.in/rooms/35590446
473,The Owl  by VEO,4,House,Jaipur,Lawn,Booking.com,"The Owl House by VEO, StayVista - 4BHK with Pet Friendly & Terrace",https://www.booking.com/hotel/in/the-owl-house-by-vista-rooms-jaipur.html
473,The Owl  by VEO,4,House,Jaipur,Lawn,MakeMyTrip,The Owl House by VEO - Part of StayVista,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201909131841315734&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
308,Tall Silver,2,Villa,Coorg,Infinity Pool,Agoda,StayVista at Tall Silver,https://www.agoda.com/en-in/tall-silver-by-vista-rooms-h10696433/hotel/coorg-in.html
308,Tall Silver,2,Villa,Coorg,Infinity Pool,Airbnb,2BR| Pool+Brkfst |StayVista| Tall Silver@Karnataka,https://www.airbnb.co.in/rooms/39589386
308,Tall Silver,2,Villa,Coorg,Infinity Pool,Booking.com,StayVista's Tall Silver - 2BHK Forest-View Villa with Infinity Pool,https://www.booking.com/hotel/in/tall-silver-by-vista-rooms.html
308,Tall Silver,2,Villa,Coorg,Infinity Pool,MakeMyTrip,StayVista | Villa Tall Silver,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201904051708438613&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
423,Mistletoe,6,House,Nainital,"Mountain View, Lawn, Bonfire",Agoda,Mistletoe House by VEO - Part of StayVista,https://www.agoda.com/en-in/mistletoe-house-by-vista-rooms-h10696439/hotel/nainital-in.html
423,Mistletoe,6,House,Nainital,"Mountain View, Lawn, Bonfire",Airbnb,"Bhimtal | 6BR Mistletoe House w/Cook, Wifi & Lawn",https://www.airbnb.co.in/rooms/1734496875518022622
423,Mistletoe,6,House,Nainital,"Mountain View, Lawn, Bonfire",Booking.com,"Mistletoe House by VEO, StayVista - 6BHK with Mountain View & Bonfire",https://www.booking.com/hotel/in/mistletoe-house.html
423,Mistletoe,6,House,Nainital,"Mountain View, Lawn, Bonfire",MakeMyTrip,StayVista | Mistletoe House,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201906281929365708&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
451,The Lilly Ooty,4,Villa,Ooty,Private Pool,Agoda,StayVista at The Lilly Ooty with Breakfast,https://www.agoda.com/en-in/the-lilly-by-vista-rooms/hotel/ooty-in.html
451,The Lilly Ooty,4,Villa,Ooty,Private Pool,Airbnb,4BR|Majestic Views+Hill|StayVista| The Lilly @Ooty,https://www.airbnb.co.in/rooms/35206601
451,The Lilly Ooty,4,Villa,Ooty,Private Pool,Booking.com,The Lilly by StayVista - 4BHK Mountain-View Villa with Bar,https://www.booking.com/hotel/in/the-lilly-by-vista-rooms.html
451,The Lilly Ooty,4,Villa,Ooty,Private Pool,MakeMyTrip,StayVista | The Lilly 4 BHK Villa,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201906281847298425&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
357,in the Clouds,3,Cottage,Mussoorie,"Mountain View, BBQ",Agoda,StayVista at Cottage in the Clouds,https://www.agoda.com/en-in/cottage-in-the-clouds-by-vista-rooms/hotel/mussoorie-in.html
357,in the Clouds,3,Cottage,Mussoorie,"Mountain View, BBQ",Airbnb,StayVista at Cottage In The Clouds,https://www.airbnb.co.in/rooms/1734685855226959267
357,in the Clouds,3,Cottage,Mussoorie,"Mountain View, BBQ",Booking.com,Cottage in the Clouds by StayVista - 3BHK with Mountain View & BBQ,https://www.booking.com/hotel/in/cottage-in-the-clouds-by-vista-rooms.html
357,in the Clouds,3,Cottage,Mussoorie,"Mountain View, BBQ",MakeMyTrip,StayVista at Cottage in the Clouds,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201907121635319157&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
691,Sullivan,5,Villa,Ooty,"Mountain View, BBQ",Agoda,Villa Sullivan by VEO - Part of StayVista,https://www.agoda.com/en-in/villa-sullivan-by-vista-rooms/hotel/ooty-in.html
691,Sullivan,5,Villa,Ooty,"Mountain View, BBQ",Airbnb,5BR| Nature Escape |StayVista| Villa Sullivan@Ooty,https://www.airbnb.co.in/rooms/39188162
691,Sullivan,5,Villa,Ooty,"Mountain View, BBQ",Booking.com,"Villa Sullivan by VEO, StayVista - 5BHK with Mountain View & BBQ",https://www.booking.com/hotel/in/villa-sullivan-by-vista-rooms-ooty.html
691,Sullivan,5,Villa,Ooty,"Mountain View, BBQ",MakeMyTrip,StayVista | Villa Sullivan,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201910191701271659&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
689,Agastya,3,Villa,India,Mountain View,Agoda,Agastya Villa by VEO - Part of StayVista,https://www.agoda.com/en-in/boutique-homestay-in-heritage-town-of-badami/hotel/badami-in.html
689,Agastya,3,Villa,India,Mountain View,Airbnb,3BR Pet Friendly Villa w/Terrace @Badami Bangalore,https://www.airbnb.co.in/rooms/39009540
689,Agastya,3,Villa,India,Mountain View,Booking.com,"Agastya Villa by VEO, StayVista - 3BHK with Mountain View & Terrace",https://www.booking.com/hotel/in/boutique-homestay-in-heritage-town-of-badami.html
689,Agastya,3,Villa,India,Mountain View,MakeMyTrip,StayVista | Agastya Villa,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201910151517104991&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
475,Kinara The Luxury Collection,4,Villa,Goa,"Infinity Pool, Jacuzzi",Agoda,StayVista at Villa Kinara The Luxury Collection,https://www.agoda.com/en-in/villa-kinara-by-vista-rooms/hotel/goa-in.html
